"Position holder";"Name of the issuer";"ISIN";"Net short position";"Position date"
"AKO Capital LLP";"Akzo Nobel N.V.";"NL0013267909";"1.48";"2024-08-05 00:00:00"
"PDT Partners, LLC";"Alfen N.V.";"NL0012817175";"0.94";"2024-08-05 00:00:00"
"Millennium International Management LP";"Pharming Group N.V.";"NL0010391025";"1.66";"2024-08-02 00:00:00"
"PDT Partners, LLC";"Alfen N.V.";"NL0012817175";"1.00";"2024-08-01 00:00:00"
"Marshall Wace LLP";"PostNL N.V.";"NL0009739416";"0.87";"2024-07-31 00:00:00"
"Millennium International Management LP";"Pharming Group N.V.";"NL0010391025";"1.71";"2024-07-31 00:00:00"
"Highbridge Capital Management LLC";"Pharming Group N.V.";"NL0010391025";"1.20";"2024-07-30 00:00:00"
"AKO Capital LLP";"Akzo Nobel N.V.";"NL0013267909";"1.53";"2024-07-24 00:00:00"
"AKO Capital LLP";"Akzo Nobel N.V.";"NL0013267909";"1.45";"2024-07-23 00:00:00"
"Marshall Wace LLP";"PostNL N.V.";"NL0009739416";"0.99";"2024-07-22 00:00:00"
"PDT Partners, LLC";"Alfen N.V.";"NL0012817175";"0.91";"2024-07-22 00:00:00"
"Millennium International Management LP";"Pharming Group N.V.";"NL0010391025";"1.61";"2024-07-19 00:00:00"
"Millennium International Management LP";"Pharming Group N.V.";"NL0010391025";"1.59";"2024-07-18 00:00:00"
"PDT Partners, LLC";"Alfen N.V.";"NL0012817175";"0.86";"2024-07-18 00:00:00"
"Marshall Wace LLP";"PostNL N.V.";"NL0009739416";"1.09";"2024-07-16 00:00:00"
"Millennium International Management LP";"Pharming Group N.V.";"NL0010391025";"1.67";"2024-07-15 00:00:00"
"PDT Partners, LLC";"Alfen N.V.";"NL0012817175";"0.93";"2024-07-15 00:00:00"
"Millennium International Management LP";"Pharming Group N.V.";"NL0010391025";"1.79";"2024-07-08 00:00:00"
"PDT Partners, LLC";"Alfen N.V.";"NL0012817175";"0.81";"2024-07-08 00:00:00"
"Marshall Wace LLP";"PostNL N.V.";"NL0009739416";"1.12";"2024-07-04 00:00:00"
"Millennium International Management LP";"Pharming Group N.V.";"NL0010391025";"1.82";"2024-07-01 00:00:00"
"Marshall Wace LLP";"PostNL N.V.";"NL0009739416";"1.01";"2024-06-28 00:00:00"
"Millennium International Management LP";"Pharming Group N.V.";"NL0010391025";"1.72";"2024-06-28 00:00:00"
"PDT Partners, LLC";"Alfen N.V.";"NL0012817175";"0.75";"2024-06-27 00:00:00"
"PDT Partners, LLC";"Alfen N.V.";"NL0012817175";"1.09";"2024-06-26 00:00:00"
"Arrowstreet Capital, Limited Partnership";"Galapagos NV";"BE0003818359";"1.49";"2024-06-25 00:00:00"
"Millennium International Management LP";"Pharming Group N.V.";"NL0010391025";"1.62";"2024-06-25 00:00:00"
"AKO Capital LLP";"Akzo Nobel N.V.";"NL0013267909";"1.31";"2024-06-24 00:00:00"
"BlackRock Advisors, LLC";"AMG Critical Materials N.V.";"NL0000888691";"0.69";"2024-06-19 00:00:00"
"Wellington Management International Ltd.";"Basic-Fit N.V.";"NL0011872650";"0.60";"2024-06-18 00:00:00"
"BlackRock Advisors, LLC";"AMG Critical Materials N.V.";"NL0000888691";"0.70";"2024-06-17 00:00:00"
"Millennium International Management LP";"Pharming Group N.V.";"NL0010391025";"1.52";"2024-06-14 00:00:00"
"Marshall Wace LLP";"PostNL N.V.";"NL0009739416";"0.91";"2024-06-13 00:00:00"
"PDT Partners, LLC";"Alfen N.V.";"NL0012817175";"1.20";"2024-06-13 00:00:00"
"AKO Capital LLP";"Akzo Nobel N.V.";"NL0013267909";"1.27";"2024-06-12 00:00:00"
"JPMorgan Asset Management (UK) Ltd.";"TomTom N.V.";"NL0013332471";"1.58";"2024-06-12 00:00:00"
"Marshall Wace LLP";"PostNL N.V.";"NL0009739416";"0.89";"2024-06-11 00:00:00"
"Marshall Wace LLP";"PostNL N.V.";"NL0009739416";"0.90";"2024-06-10 00:00:00"
"Millennium International Management LP";"Pharming Group N.V.";"NL0010391025";"1.42";"2024-06-10 00:00:00"
"AKO Capital LLP";"Akzo Nobel N.V.";"NL0013267909";"1.10";"2024-06-06 00:00:00"
"AKO Capital LLP";"Akzo Nobel N.V.";"NL0013267909";"1.00";"2024-06-05 00:00:00"
"Millennium International Management LP";"Pharming Group N.V.";"NL0010391025";"1.38";"2024-06-05 00:00:00"
"PDT Partners, LLC";"Alfen N.V.";"NL0012817175";"1.10";"2024-06-05 00:00:00"
"Marshall Wace LLP";"PostNL N.V.";"NL0009739416";"1.06";"2024-06-04 00:00:00"
"Millennium International Management LP";"Pharming Group N.V.";"NL0010391025";"1.40";"2024-06-04 00:00:00"
"BlackRock Advisors, LLC";"AMG Critical Materials N.V.";"NL0000888691";"0.69";"2024-06-03 00:00:00"
"Marshall Wace LLP";"PostNL N.V.";"NL0009739416";"1.11";"2024-06-03 00:00:00"
"Marshall Wace LLP";"PostNL N.V.";"NL0009739416";"1.29";"2024-05-29 00:00:00"
"Wellington Management International Ltd.";"Basic-Fit N.V.";"NL0011872650";"0.52";"2024-05-28 00:00:00"
"Marshall Wace LLP";"PostNL N.V.";"NL0009739416";"1.39";"2024-05-27 00:00:00"
"BlackRock Advisors, LLC";"AMG Critical Materials N.V.";"NL0000888691";"0.70";"2024-05-24 00:00:00"
"PDT Partners, LLC";"Alfen N.V.";"NL0012817175";"1.07";"2024-05-23 00:00:00"
"Millennium International Management LP";"Pharming Group N.V.";"NL0010391025";"1.33";"2024-05-22 00:00:00"
"PDT Partners, LLC";"Alfen N.V.";"NL0012817175";"1.15";"2024-05-21 00:00:00"
"BlackRock Advisors, LLC";"AMG Critical Materials N.V.";"NL0000888691";"0.62";"2024-05-20 00:00:00"
"PDT Partners, LLC";"Alfen N.V.";"NL0012817175";"1.09";"2024-05-17 00:00:00"
"Millennium International Management LP";"Pharming Group N.V.";"NL0010391025";"1.23";"2024-05-15 00:00:00"
"BlackRock Advisors, LLC";"AMG Critical Materials N.V.";"NL0000888691";"0.52";"2024-05-14 00:00:00"
"Marshall Wace LLP";"PostNL N.V.";"NL0009739416";"1.49";"2024-05-14 00:00:00"
"Marshall Wace LLP";"PostNL N.V.";"NL0009739416";"1.51";"2024-05-09 00:00:00"
"Millennium International Management LP";"Pharming Group N.V.";"NL0010391025";"1.11";"2024-05-08 00:00:00"
"Otus Capital Management Ltd.";"TomTom N.V.";"NL0013332471";"0.66";"2024-05-02 00:00:00"
"Otus Capital Management Ltd.";"TomTom N.V.";"NL0013332471";"0.72";"2024-04-30 00:00:00"
"Otus Capital Management Ltd.";"TomTom N.V.";"NL0013332471";"0.86";"2024-04-29 00:00:00"
"PDT Partners, LLC";"Alfen N.V.";"NL0012817175";"1.15";"2024-04-29 00:00:00"
"Highbridge Capital Management LLC";"Pharming Group N.V.";"NL0010391025";"1.14";"2024-04-26 00:00:00"
"Millennium International Management LP";"Pharming Group N.V.";"NL0010391025";"1.09";"2024-04-26 00:00:00"
"Millennium International Management LP";"Pharming Group N.V.";"NL0010391025";"1.10";"2024-04-25 00:00:00"
"Otus Capital Management Ltd.";"TomTom N.V.";"NL0013332471";"0.97";"2024-04-25 00:00:00"
"AKO Capital LLP";"Akzo Nobel N.V.";"NL0013267909";"0.92";"2024-04-24 00:00:00"
"Marshall Wace LLP";"PostNL N.V.";"NL0009739416";"1.41";"2024-04-24 00:00:00"
"Otus Capital Management Ltd.";"TomTom N.V.";"NL0013332471";"1.06";"2024-04-24 00:00:00"
"Highbridge Capital Management LLC";"Pharming Group N.V.";"NL0010391025";"1.00";"2024-04-23 00:00:00"
"Millennium International Management LP";"Pharming Group N.V.";"NL0010391025";"1.09";"2024-04-23 00:00:00"
"Otus Capital Management Ltd.";"TomTom N.V.";"NL0013332471";"1.21";"2024-04-23 00:00:00"
"Millennium International Management LP";"Pharming Group N.V.";"NL0010391025";"1.10";"2024-04-22 00:00:00"
"Millennium International Management LP";"Pharming Group N.V.";"NL0010391025";"1.07";"2024-04-19 00:00:00"
