"Position date","Change Position Date",Issuer,ISIN,"Position holder","Net short position"
11/06/2021,15/06/2021,EURONAV,BE0003816338,"CITADEL ADVISORS LLC","0,79"
10/06/2021,16/06/2021,EURONAV,BE0003816338,"WorldQuant, LLC","0,58"
09/06/2021,20/07/2021,SOLVAY,BE0003470755,"Point72 Europe (London) LLP","0,60"
09/06/2021,11/06/2021,EURONAV,BE0003816338,"CITADEL ADVISORS LLC","0,81"
07/06/2021,11/06/2021,EURONAV,BE0003816338,"MARSHALL WACE LLP","1,09"
03/06/2021,04/06/2021,ARGENX,NL0010832176,"CITADEL ADVISORS LLC","0,50"
02/06/2021,22/07/2021,"MITHRA PHARMACEUTICALS",BE0974283153,"CITADEL EUROPE LLP","0,59"
01/06/2021,07/06/2021,EURONAV,BE0003816338,"MARSHALL WACE LLP","1,11"
31/05/2021,10/06/2021,EURONAV,BE0003816338,"WorldQuant, LLC","0,60"
27/05/2021,09/06/2021,EURONAV,BE0003816338,"CITADEL ADVISORS LLC","0,70"
26/05/2021,10/06/2021,EURONAV,BE0003816338,"PDT Partners, LLC","0,50"
26/05/2021,27/05/2021,BIOCARTIS,BE0974281132,"Millenium International Management LP","0,70"
25/05/2021,26/05/2021,BIOCARTIS,BE0974281132,"Millenium International Management LP","0,60"
25/05/2021,31/05/2021,EURONAV,BE0003816338,"WorldQuant, LLC","0,59"
25/05/2021,27/05/2021,EURONAV,BE0003816338,"CITADEL ADVISORS LLC","0,68"
25/05/2021,04/06/2021,EURONAV,BE0003816338,"BLACKROCK INSTITUTIONAL TRUST COMPANY, NATIONAL ASSOCIATION","0,50"
24/05/2021,25/05/2021,BIOCARTIS,BE0974281132,"Millenium International Management LP","0,51"
21/05/2021,25/05/2021,EURONAV,BE0003816338,"CITADEL ADVISORS LLC","0,77"
20/05/2021,21/05/2021,EURONAV,BE0003816338,"CITADEL ADVISORS LLC","0,81"
20/05/2021,25/05/2021,EURONAV,BE0003816338,"WorldQuant, LLC","0,67"
19/05/2021,01/06/2021,EURONAV,BE0003816338,"MARSHALL WACE LLP","1,00"
19/05/2021,20/05/2021,EURONAV,BE0003816338,"CITADEL ADVISORS LLC","0,79"
17/05/2021,20/05/2021,EURONAV,BE0003816338,"WorldQuant, LLC","0,77"
17/05/2021,19/05/2021,EURONAV,BE0003816338,"CITADEL ADVISORS LLC","0,80"
14/05/2021,18/11/2021,"MITHRA PHARMACEUTICALS",BE0974283153,"HIGHBRIDGE CAPITAL MANAGEMENT, LLC","1,88"
13/05/2021,19/05/2021,EURONAV,BE0003816338,"MARSHALL WACE LLP","0,90"
12/05/2021,17/05/2021,EURONAV,BE0003816338,"WorldQuant, LLC","0,88"
11/05/2021,17/05/2021,EURONAV,BE0003816338,"CITADEL ADVISORS LLC","0,71"
10/05/2021,01/06/2021,ARGENX,NL0010832176,"CITADEL ADVISORS LLC","0,50"
10/05/2021,13/05/2021,EURONAV,BE0003816338,"MARSHALL WACE LLP","0,82"
07/05/2021,03/06/2021,ARGENX,NL0010832176,"MARSHALL WACE LLP","0,50"
07/05/2021,18/05/2021,EURONAV,BE0003816338,"PDT Partners, LLC","0,57"
06/05/2021,11/05/2021,EURONAV,BE0003816338,"CITADEL ADVISORS LLC","0,63"
05/05/2021,10/05/2021,EURONAV,BE0003816338,"MARSHALL WACE LLP","0,71"
05/05/2021,12/05/2021,EURONAV,BE0003816338,"WorldQuant, LLC","0,97"
03/05/2021,05/05/2021,EURONAV,BE0003816338,"WorldQuant, LLC","1,09"
03/05/2021,02/08/2021,"CELYAD ONCOLOGY",BE0974260896,"ARMISTICE CAPITAL, LLC","1,55"
03/05/2021,22/06/2021,"AGFA GEVAERT",BE0003755692,"Cadian Capital Management, LLC","0,79"
29/04/2021,11/05/2021,ONTEX,BE0974276082,"MARSHALL WACE LLP","0,59"
29/04/2021,05/05/2021,EURONAV,BE0003816338,"MARSHALL WACE LLP","0,69"
29/04/2021,03/05/2021,EURONAV,BE0003816338,"WorldQuant, LLC","1,15"
26/04/2021,29/04/2021,EURONAV,BE0003816338,"WorldQuant, LLC","1,28"
23/04/2021,29/04/2021,ONTEX,BE0974276082,"MARSHALL WACE LLP","0,60"
23/04/2021,03/05/2021,"AGFA GEVAERT",BE0003755692,"Cadian Capital Management, LLC","0,88"
22/04/2021,14/05/2021,"MITHRA PHARMACEUTICALS",BE0974283153,"HIGHBRIDGE CAPITAL MANAGEMENT, LLC","1,92"
