"Innehavare av positionen 
(Position holder)","Namn på emittent 
(Name of the issuer)",ISIN,Position i procent (Position in per cent),"Datum för positionen 
(Position date)",Kommentar (Comment)
Marshall Wace LLP,Aktiebolaget Electrolux,SE0000103814,0.87,2013-09-27,Korrigering
Oxford Asset Management,CDON Group AB,SE0003652163,0.61,2013-09-27,Korrigering
"D. E. Shaw & Co., L.P.",SSAB AB,SE0000171100,0.82,2013-09-27,
Cadian Capital Management LLC,Elekta AB (publ) ,SE0000163628,0.99,2013-09-27,
Alden Global Capital Limited,Eniro AB,SE0004633956,0.76,2013-09-26,
Alden Global Capital Limited,Eniro AB,SE0004633956,0.87,2013-09-24,
Pictet Asset Management SA,Clas Ohlson Aktiebolag ,SE0000584948,"<0,5",2013-09-24,
Oxford Asset Management,CDON Group AB,SE0003652163,0.52,2013-09-24,
Marshall Wace LLP,Oriflame Holding AG,SE0001174889,1.42,2013-09-23,
JPMorgan Asset Management (UK) Ltd,CDON Group AB,SE0003652163,0.56,2013-09-20,
"AQR Capital Management, LLC",SSAB AB,SE0000171100,1.09,2013-09-20,
"BlackRock Institutional Trust Company, National Association",NCC Aktiebolag ,SE0000117970,0.50,2013-09-19,
Marshall Wace LLP,Securitas AB ,SE0000163594,1.01,2013-09-18,
"Sheffield Asset Management, L.L.C.",Eniro AB,SE0000718017,"<0,5",2013-09-18,
"AQR Capital Management, LLC",Elekta AB (publ) ,SE0000163628,0.67,2013-09-18,
Marshall Wace LLP,Oriflame Holding AG,SE0001174889,1.31,2013-09-17,
Zenit Asset Management AB,Modern Times Group MTG AB,SE0000412371,0.71,2013-09-17,
"BlackRock Institutional Trust Company, National Association",Husqvarna Aktiebolag ,SE0001662230,0.50,2013-09-17,
"AQR Capital Management, LLC",SSAB AB,SE0000171100,1.14,2013-09-17,
Lansdowne Partners Ltd,Elekta AB (publ) ,SE0000163628,0.89,2013-09-16,
"D. E. Shaw & Co., L.P.",SSAB AB,SE0000171100,0.71,2013-09-16,
Marshall Wace LLP,Securitas AB ,SE0000163594,0.91,2013-09-13,
Zenit Asset Management AB,Modern Times Group MTG AB,SE0000412371,0.50,2013-09-12,
Luxor Capital Group LP,Tele2 AB ,SE0000314312,0.80,2013-09-12,
"BlackRock Institutional Trust Company, National Association",SAAB Aktiebolag ,SE0000112385,"<0,5",2013-09-12,
Lansdowne Partners Ltd,Atlas Copco Aktiebolag,SE0000101032,0.99,2013-09-11,
Kynikos Associates LP,JM AB ,SE0000806994,"<0,5",2013-09-11,
Egerton Capital (UK) LLP,Husqvarna Aktiebolag ,SE0001662230,"<0,5",2013-09-11,
Friends Provident International Limited,Dannemora Mineral Aktiebolag,SE0001879818,"<0,5",2013-09-10,
"North Tide Capital, LLC",Elekta AB (publ) ,SE0000163628,0.54,2013-09-10,
Luxor Capital Group LP,MILLICOM INTERNATIONAL CELLULAR S.A.,SE0001174970,0.79,2013-09-10,
Kynikos Associates LP,JM AB ,SE0000806994,1.14,2013-09-10,
BlackRock Investment Management (UK) Limited,Ratos AB ,SE0000111940,"<0,5",2013-09-10,
Marshall Wace LLP,Securitas AB ,SE0000163594,0.80,2013-09-09,
Kynikos Associates LP,JM AB ,SE0000806994,1.50,2013-09-09,
Marshall Wace LLP,Aktiebolaget Electrolux,SE0000103814,0.97,2013-09-06,
Zenit Asset Management AB,Modern Times Group MTG AB,SE0000412371,"<0,5",2013-09-06,
Luxor Capital Group LP,MILLICOM INTERNATIONAL CELLULAR S.A.,SE0001174970,0.81,2013-09-06,
Luxor Capital Group LP,Tele2 AB ,SE0000314312,0.73,2013-09-06,
"BlackRock Institutional Trust Company, National Association",Husqvarna Aktiebolag ,SE0001662230,"<0,5",2013-09-06,
"AQR Capital Management, LLC",SSAB AB,SE0000171100,1.21,2013-09-06,
Marshall Wace LLP,Aktiebolaget Electrolux,SE0000103814,1.00,2013-09-05,
Marshall Wace LLP,Securitas AB ,SE0000163594,0.74,2013-09-05,
Zenit Asset Management AB,Modern Times Group MTG AB,SE0000412371,0.50,2013-09-05,
Luxor Capital Group LP,BillerudKorsnäs Aktiebolag (publ) ,SE0000862997,0.60,2013-09-05,
BlackRock Investment Management (UK) Limited,Ratos AB ,SE0000111940,0.58,2013-09-05,
"BlackRock Institutional Trust Company, National Association",Husqvarna Aktiebolag ,SE0001662230,0.50,2013-09-05,
"BlackRock Institutional Trust Company, National Association",Securitas AB ,SE0000163594,"<0,5",2013-09-04,
"Sierra Global Management, LLC",Eniro AB,SE0000718017,0.66,2013-09-03,
Luxor Capital Group LP,BillerudKorsnäs Aktiebolag (publ) ,SE0000862997,0.57,2013-09-03,
Kynikos Associates LP,SSAB AB,SE0000171100,1.67,2013-09-03,
"Sheffield Asset Management, L.L.C.",Eniro AB,SE0000718017,0.50,2013-09-02,
Kynikos Associates LP,SSAB AB,SE0000171100,1.55,2013-09-02,
"BlackRock Institutional Trust Company, National Association",Securitas AB ,SE0000163594,0.55,2013-09-02,
Marshall Wace LLP,Boliden AB ,SE0000869646,"<0,5",2013-08-30,
Friends Provident International Limited,Dannemora Mineral Aktiebolag,SE0001879818,1.15,2013-08-30,
Marshall Wace LLP,Oriflame Holding AG,SE0001174889,1.24,2013-08-30,
Marshall Wace LLP,Aktiebolaget SKF ,SE0000108227,"<0,5",2013-08-30,
Luxor Capital Group LP,Tele2 AB ,SE0000314312,0.69,2013-08-30,
Lansdowne Partners Ltd,Elekta AB (publ) ,SE0000163628,0.92,2013-08-30,
Eton Park International LLP,Tele2 AB ,SE0000314312,0.80,2013-08-30,
BlackRock Investment Management (UK) Limited,Ratos AB ,SE0000111940,0.69,2013-08-30,
Marshall Wace LLP,Oriflame Holding AG,SE0001174889,1.14,2013-08-29,
Kynikos Associates LP,SSAB AB,SE0000171100,1.62,2013-08-29,
Eton Park International LLP,Tele2 AB ,SE0000314312,0.71,2013-08-29,
Cadian Capital Management LLC,Elekta AB (publ) ,SE0000163628,1.00,2013-08-29,
Marshall Wace LLP,SSAB AB,SE0000171100,"<0,5",2013-08-29,
Marshall Wace LLP,Securitas AB ,SE0000163594,0.68,2013-08-28,
Zenit Asset Management AB,Modern Times Group MTG AB,SE0000412371,"<0,5",2013-08-28,
"BlackRock Institutional Trust Company, National Association",Securitas AB ,SE0000163594,0.69,2013-08-28,
BlackRock Investment Management (UK) Limited,Ratos AB ,SE0000111940,0.77,2013-08-27,
Friends Provident International Limited,Dannemora Mineral Aktiebolag,SE0001879818,0.72,2013-08-26,
Marshall Wace LLP,Securitas AB ,SE0000163594,0.70,2013-08-26,
Kynikos Associates LP,SSAB AB,SE0000171100,1.89,2013-08-26,
Cobalt Capital Management Inc,SSAB AB,SE0000171100,"<0,5",2013-08-26,
Marshall Wace LLP,Oriflame Holding AG,SE0001174889,1.20,2013-08-23,
Marshall Wace LLP,SSAB AB,SE0000171100,0.58,2013-08-23,
Kynikos Associates LP,SSAB AB,SE0000171100,1.94,2013-08-23,
Cadian Capital Management LLC,Elekta AB (publ) ,SE0000163628,0.99,2013-08-23,
Highbridge Capital Management LLC,SSAB AB,SE0000171100,"<0,5",2013-08-22,
Marshall Wace LLP,Aktiebolaget Electrolux,SE0000103814,0.99,2013-08-21,
Highbridge Capital Management LLC,SSAB AB,SE0000171100,0.52,2013-08-21,
Cadian Capital Management LLC,Elekta AB (publ) ,SE0000163628,1.05,2013-08-20,
"BlackRock Institutional Trust Company, National Association",Securitas AB ,SE0000163594,0.70,2013-08-19,
Marshall Wace LLP,Oriflame Holding AG,SE0001174889,1.12,2013-08-16,
"AQR Capital Management, LLC",SSAB AB,SE0000171100,1.18,2013-08-16,
Marshall Wace LLP,Boliden AB ,SE0000869646,0.52,2013-08-15,
Marshall Wace LLP,Aktiebolaget Electrolux,SE0000103814,1.08,2013-08-15,
"ZBI Equities, LLC",Elekta AB (publ) ,SE0000163628,1.19,2013-08-15,
Kynikos Associates LP,SSAB AB,SE0000171100,2.02,2013-08-15,
Pareto Öhman AB,Vostok Nafta Investment Ltd,SE0005191475,"<0,5",2013-08-15,
"D. E. Shaw & Co., L.P.",Elekta AB (publ) ,SE0000163628,0.99,2013-08-15,
Marshall Wace LLP,Aktiebolaget Electrolux,SE0000103814,0.99,2013-08-14,
Marshall Wace LLP,Oriflame Holding AG,SE0001174889,1.00,2013-08-14,
Highbridge Capital Management LLC,SSAB AB,SE0000171100,0.66,2013-08-14,
Cadian Capital Management LLC,Elekta AB (publ) ,SE0000163628,1.18,2013-08-14,
Marshall Wace LLP,Boliden AB ,SE0000869646,"<0,5",2013-08-13,
Zenit Asset Management AB,Modern Times Group MTG AB,SE0000412371,0.53,2013-08-13,
Lansdowne Partners Ltd,Atlas Copco Aktiebolag,SE0000101032,1.00,2013-08-13,
Lansdowne Partners Ltd,Sandvik AB,SE0000667891,1.33,2013-08-13,
Lansdowne Partners Ltd,Aktiebolaget SKF ,SE0000108227,0.79,2013-08-13,
"BlackRock Institutional Trust Company, National Association",Skanska AB,SE0000113250,"<0,5",2013-08-13,
Marshall Wace LLP,Boliden AB ,SE0000869646,0.55,2013-08-09,
Marshall Wace LLP,Aktiebolaget Electrolux,SE0000103814,1.01,2013-08-09,
Marshall Wace LLP,SSAB AB,SE0000171100,0.62,2013-08-09,
Kynikos Associates LP,JM AB ,SE0000806994,1.60,2013-08-09,
Canada Pension Plan Investment Board,Skanska AB,SE0000113250,"<0,5",2013-08-09,
"BlackRock Institutional Trust Company, National Association",Skanska AB,SE0000113250,0.50,2013-08-09,
Kynikos Associates LP,JM AB ,SE0000806994,1.70,2013-08-09,
Highbridge Capital Management LLC,SSAB AB,SE0000171100,0.79,2013-08-09,
Cobalt Capital Management Inc,SSAB AB,SE0000171100,0.58,2013-08-09,Anmälan återkallad 2013-08-13
Cadian Capital Management LLC,Elekta AB (publ) ,SE0000163628,1.28,2013-08-09,Korrigering
Marshall Wace LLP,SSAB AB,SE0000171100,0.55,2013-08-08,
Sothic Capital Management LLP,Eniro AB,SE0000718017,"<0,5",2013-08-08,
Kynikos Associates LP,SSAB AB,SE0000171100,1.93,2013-08-08,
Highbridge Capital Management LLC,SSAB AB,SE0000171100,0.81,2013-08-08,
"BlackRock Institutional Trust Company, National Association",Skanska AB,SE0000113250,"<0,5",2013-08-08,
Marshall Wace LLP,Boliden AB ,SE0000869646,0.60,2013-08-07,
Marshall Wace LLP,SSAB AB,SE0000171100,0.63,2013-08-07,
"D. E. Shaw & Co., L.P.",SSAB AB,SE0000171100,0.69,2013-08-07,
Marshall Wace LLP,Boliden AB ,SE0000869646,0.56,2013-08-06,
Marshall Wace LLP,SSAB AB,SE0000171100,0.72,2013-08-06,
"D. E. Shaw & Co., L.P.",SSAB AB,SE0000171100,0.70,2013-08-06,
Cadian Capital Management LLC,Elekta AB (publ) ,SE0000163628,1.34,2013-08-06,
"BlackRock Institutional Trust Company, National Association",Husqvarna Aktiebolag ,SE0001662230,"<0,5",2013-08-06,
"AQR Capital Management, LLC",SSAB AB,SE0000171100,1.24,2013-08-06,
Marshall Wace LLP,Boliden AB ,SE0000869646,"<0,5",2013-08-05,
Sothic Capital Management LLP,Eniro AB,SE0000718017,0.89,2013-08-05,
"D. E. Shaw & Co., L.P.",SSAB AB,SE0000171100,0.69,2013-08-05,
Cadian Capital Management LLC,Elekta AB (publ) ,SE0000163628,1.40,2013-08-05,
"D. E. Shaw & Co., L.P.",SSAB AB,SE0000171100,0.70,2013-08-02,
"Sheffield Asset Management, L.L.C.",Eniro AB,SE0000718017,"<0,5",2013-08-01,
Highbridge Capital Management LLC,SSAB AB,SE0000171100,0.99,2013-08-01,
"D. E. Shaw & Co., L.P.",SSAB AB,SE0000171100,0.69,2013-08-01,
Marshall Wace LLP,SSAB AB,SE0000171100,0.90,2013-07-31,
"ZBI Equities, LLC",Elekta AB (publ) ,SE0000163628,1.26,2013-07-31,
Sothic Capital Management LLP,Eniro AB,SE0000718017,0.99,2013-07-31,
Marshall Wace LLP,SSAB AB,SE0000171100,0.83,2013-07-30,
Highbridge Capital Management LLC,SSAB AB,SE0000171100,1.04,2013-07-30,
BlackRock Investment Management (UK) Limited,Ratos AB ,SE0000111940,0.88,2013-07-30,
Marshall Wace LLP,Aktiebolaget Electrolux,SE0000103814,0.80,2013-07-29,
Marshall Wace LLP,Oriflame Holding AG,SE0001174889,0.90,2013-07-26,
Marshall Wace LLP,SSAB AB,SE0000171100,0.71,2013-07-26,
Sothic Capital Management LLP,Eniro AB,SE0000718017,1.02,2013-07-26,
"Sierra Global Management, LLC",Eniro AB,SE0000718017,"<0,5",2013-07-26,
Kynikos Associates LP,JM AB ,SE0000806994,1.51,2013-07-26,
Luxor Capital Group LP,MILLICOM INTERNATIONAL CELLULAR S.A.,SE0001174970,0.74,2013-07-26,
Eton Park International LLP,Tele2 AB ,SE0000314312,0.62,2013-07-26,
Marshall Wace LLP,Aktiebolaget Electrolux,SE0000103814,0.72,2013-07-25,
Marshall Wace LLP,Securitas AB ,SE0000163594,0.60,2013-07-25,
Marshall Wace LLP,Aktiebolaget SKF ,SE0000108227,0.52,2013-07-25,
Sothic Capital Management LLP,Eniro AB,SE0000718017,1.11,2013-07-25,
Highbridge Capital Management LLC,SSAB AB,SE0000171100,0.93,2013-07-25,
Eton Park International LLP,Tele2 AB ,SE0000314312,0.55,2013-07-25,
"D. E. Shaw & Co., L.P.",SSAB AB,SE0000171100,0.71,2013-07-25,
Marshall Wace LLP,Aktiebolaget Electrolux,SE0000103814,0.64,2013-07-24,
Marshall Wace LLP,SSAB AB,SE0000171100,0.61,2013-07-24,
Luxor Capital Group LP,MILLICOM INTERNATIONAL CELLULAR S.A.,SE0001174970,0.89,2013-07-24,
Highbridge Capital Management LLC,SSAB AB,SE0000171100,0.86,2013-07-24,
"D. E. Shaw & Co., L.P.",SSAB AB,SE0000171100,0.69,2013-07-24,
"BlackRock Institutional Trust Company, National Association",Husqvarna Aktiebolag ,SE0001662230,0.59,2013-07-24,
Marshall Wace LLP,SSAB AB,SE0000171100,0.53,2013-07-23,
Lone Pine Capital LLC,Aktiebolaget Electrolux,SE0000103814,0.81,2013-07-23,
"BlackRock Institutional Trust Company, National Association",Husqvarna Aktiebolag ,SE0001662230,0.60,2013-07-23,
Marshall Wace LLP,Aktiebolaget Electrolux,SE0000103814,0.54,2013-07-22,
Parvus Asset Management (UK) LLP,JM AB ,SE0000806994,"<0,5",2013-07-22,
Lone Pine Capital LLC,Aktiebolaget Electrolux,SE0000103814,0.74,2013-07-22,Korrigering
GMT Capital Corp,Ratos AB ,SE0000111940,1.42,2013-07-22,
Luxor Capital Group LP,Modern Times Group MTG AB,SE0000412371,"<0,5",2013-07-22,
Lone Pine Capital LLC,Aktiebolaget Electrolux,SE0000103814,0.76,2013-07-22,
Highbridge Capital Management LLC,SSAB AB,SE0000171100,0.70,2013-07-22,
Marshall Wace LLP,Aktiebolaget Electrolux,SE0000103814,"<0,5",2013-07-19,
Egerton Capital (UK) LLP,Husqvarna Aktiebolag ,SE0001662230,0.66,2013-07-19,Anmälan återkallad 2013-07-23
"D. E. Shaw & Co., L.P.",SSAB AB,SE0000171100,0.70,2013-07-19,
Cadian Capital Management LLC,Axis Communications Aktiebolag,SE0000672354,5.82,2013-07-19,
"BlackRock Institutional Trust Company, National Association",Securitas AB ,SE0000163594,0.60,2013-07-19,
AKO Capital LLP for AKO Master Fund Limited,Axis Communications Aktiebolag,SE0000672354,"<0,5",2013-07-19,
Viking Global Investors LP,Sandvik AB,SE0000667891,0.60,2013-07-18,
Sothic Capital Management LLP,Eniro AB,SE0000718017,1.39,2013-07-18,Korrigering
Parvus Asset Management (UK) LLP,JM AB ,SE0000806994,0.57,2013-07-18,
Luxor Capital Group LP,Tele2 AB ,SE0005190238,0.78,2013-07-18,
Cadian Capital Management LLC,Axis Communications Aktiebolag,SE0000672354,5.73,2013-07-18,Korrigering
Marshall Wace LLP,Boliden AB ,SE0000869646,0.57,2013-07-17,
Marshall Wace LLP,Securitas AB ,SE0000163594,0.59,2013-07-17,
Marshall Wace LLP,SSAB AB,SE0000171100,"<0,5",2013-07-17,Korrigering
Parvus Asset Management (UK) LLP,JM AB ,SE0000806994,0.67,2013-07-17,Korrigering
Luxor Capital Group LP,BillerudKorsnäs Aktiebolag (publ) ,SE0000862997,0.67,2013-07-17,
Kynikos Associates LP,JM AB ,SE0000806994,2.71,2013-07-17,
Lansdowne Partners Ltd,Sandvik AB,SE0000667891,1.24,2013-07-17,
Kynikos Associates LP,JM AB ,SE0000806994,2.84,2013-07-17,
Egerton Capital Limited as general partner of Egerton Capital Limited Partnership,Husqvarna Aktiebolag ,SE0001662230,"<0,5",2013-07-17,
Egerton Capital (UK) LLP,Husqvarna Aktiebolag ,SE0001662230,0.71,2013-07-17,Anmälan återkallad 2013-07-18
Marshall Wace LLP,Boliden AB ,SE0000869646,0.63,2013-07-16,
Marshall Wace LLP,SSAB AB,SE0000171100,0.61,2013-07-16,
Sothic Capital Management LLP,Eniro AB,SE0000718017,1.77,2013-07-16,
"D. E. Shaw & Co., L.P.",JM AB ,SE0000806994,1.29,2013-07-16,
Marshall Wace LLP,Aktiebolaget Electrolux,SE0000103814,0.52,2013-07-15,
Marshall Wace LLP,Oriflame Holding AG,SE0001174889,0.88,2013-07-15,
AKO Capital LLP for AKO Master Fund Limited,Axis Communications Aktiebolag,SE0000672354,0.68,2013-07-15,
Marshall Wace LLP,Boliden AB ,SE0000869646,0.51,2013-07-12,
Pictet Asset Management SA,Clas Ohlson Aktiebolag ,SE0000584948,0.59,2013-07-12,
Lansdowne Partners Ltd,Atlas Copco Aktiebolag,SE0000101032,0.91,2013-07-12,
Marshall Wace LLP,Alfa Laval AB ,SE0000695876,"<0,5",2013-07-11,
Marshall Wace LLP,Securitas AB ,SE0000163594,0.60,2013-07-11,
Turiya Advisors Asia Limited,Aktiebolaget SKF ,SE0000108227,0.75,2013-07-11,
Egerton Capital Limited as general partner of Egerton Capital Limited Partnership,Axis Communications Aktiebolag,SE0000672354,"<0,5",2013-07-11,
Cadian Capital Management LLC,Axis Communications Aktiebolag,SE0000672354,5.60,2013-07-11,
AKO Capital LLP for AKO Master Fund Limited,Axis Communications Aktiebolag,SE0000672354,0.75,2013-07-11,
AKO Capital LLP for AKO Master Fund Limited,Aktiebolaget Electrolux,SE0000103814,"<0,5",2013-07-11,
Marshall Wace LLP,Alfa Laval AB ,SE0000695876,0.50,2013-07-10,
Marshall Wace LLP,SSAB AB,SE0000171100,0.72,2013-07-10,
Turiya Advisors Asia Limited,Aktiebolaget SKF ,SE0000108227,0.68,2013-07-10,
TT International,SSAB AB,SE0000171100,"<0,5",2013-07-10,
Pictet Asset Management SA,Clas Ohlson Aktiebolag ,SE0000584948,0.65,2013-07-10,
Cobalt Capital Management Inc,SSAB AB,SE0000171100,0.72,2013-07-10,
Cadian Capital Management LLC,Axis Communications Aktiebolag,SE0000672354,5.52,2013-07-10,
AKO Capital LLP for AKO Master Fund Limited,Axis Communications Aktiebolag,SE0000672354,1.15,2013-07-10,
Turiya Advisors Asia Limited,Aktiebolaget SKF ,SE0000108227,0.56,2013-07-09,
Pareto Öhman AB,Vostok Nafta Investment Ltd,SE0005191475,0.94,2013-07-09,
Luxor Capital Group LP,MILLICOM INTERNATIONAL CELLULAR S.A.,SE0001174970,0.95,2013-07-09,
Luxor Capital Group LP,Modern Times Group MTG AB,SE0000412371,0.58,2013-07-09,Korrigering
Lansdowne Partners Ltd,Elekta AB (publ) ,SE0000163628,0.89,2013-07-09,
Highbridge Capital Management LLC,SSAB AB,SE0000171100,0.66,2013-07-09,
Egerton Capital Limited as general partner of Egerton Capital Limited Partnership,Axis Communications Aktiebolag,SE0000672354,0.58,2013-07-09,
Bocage Capital LLC,Holmen Aktiebolag,SE0000109290,"<0,5",2013-07-09,
BlackRock Investment Management (UK) Limited,Ratos AB ,SE0000111940,0.92,2013-07-09,
"BlackRock Institutional Trust Company, National Association",SAAB Aktiebolag ,SE0000112385,0.59,2013-07-09,Korrigering
Turiya Advisors Asia Limited,Aktiebolaget SKF ,SE0000108227,0.50,2013-07-08,
Viking Global Investors LP,Sandvik AB,SE0000667891,0.51,2013-07-05,
Luxor Capital Group LP,BillerudKorsnäs Aktiebolag (publ) ,SE0000862997,0.76,2013-07-05,
Luxor Capital Group LP,Tele2 AB ,SE0005190238,0.88,2013-07-05,
Marshall Wace LLP,Aktiebolaget Electrolux,SE0000103814,"<0,5",2013-07-04,Anmälan återkallad 2013-07-11
Marshall Wace LLP,Oriflame Holding AG,SE0001174889,0.90,2013-07-04,
Cadian Capital Management LLC,Axis Communications Aktiebolag,SE0000672354,5.42,2013-07-04,
Luxor Capital Group LP,MILLICOM INTERNATIONAL CELLULAR S.A.,SE0001174970,1.07,2013-07-04,
AKO Capital LLP for AKO Master Fund Limited,Aktiebolaget Electrolux,SE0000103814,0.51,2013-07-04,
Marshall Wace LLP,Alfa Laval AB ,SE0000695876,"<0,5",2013-07-03,
Marshall Wace LLP,Securitas AB ,SE0000163594,0.59,2013-07-03,
Luxor Capital Group LP,MILLICOM INTERNATIONAL CELLULAR S.A.,SE0001174970,1.17,2013-07-03,
Luxor Capital Group LP,Tele2 AB ,SE0005190238,0.93,2013-07-03,
Highbridge Capital Management LLC,SSAB AB,SE0000171100,0.70,2013-07-03,
Marshall Wace LLP,SSAB AB,SE0000171100,0.60,2013-07-02,
TT International,SSAB AB,SE0000171100,0.63,2013-07-02,
Highbridge Capital Management LLC,SSAB AB,SE0000171100,0.64,2013-07-02,
Ennismore Fund Management Limited,Nobia AB ,SE0000949331,"<0,5",2013-07-02,
BlackRock Investment Management (UK) Limited,Ratos AB ,SE0000111940,0.80,2013-07-02,
"BlackRock Institutional Trust Company, National Association",Husqvarna Aktiebolag ,SE0001662230,0.57,2013-07-02,
"AQR Capital Management, LLC",SSAB AB,SE0000171100,1.32,2013-07-02,
Marshall Wace LLP,Aktiebolaget Electrolux,SE0000103814,0.57,2013-07-01,
Cadian Capital Management LLC,Elekta AB (publ) ,SE0000163628,1.58,2013-07-01,
Marshall Wace LLP,Securitas AB ,SE0000163594,0.60,2013-06-28,
Marshall Wace LLP,SSAB AB,SE0000171100,0.56,2013-06-28,
"Maverick Capital, Ltd.",Elekta AB (publ) ,SE0000163628,1.01,2013-06-28,
AKO Capital LLP for AKO Master Fund Limited,Oriflame Holding AG,SE0001174889,"<0,5",2013-06-28,
Marshall Wace LLP,Alfa Laval AB ,SE0000695876,0.50,2013-06-27,
Marshall Wace LLP,SSAB AB,SE0000171100,"<0,5",2013-06-27,
TT International,SSAB AB,SE0000171100,0.84,2013-06-27,
AKO Capital LLP for AKO Master Fund Limited,Oriflame Holding AG,SE0001174889,0.73,2013-06-27,
Marshall Wace LLP,Aktiebolaget SKF ,SE0000108227,"<0,5",2013-06-26,
"D. E. Shaw & Co., L.P.",JM AB ,SE0000806994,1.30,2013-06-26,
"BlackRock Institutional Trust Company, National Association",Skanska AB,SE0000113250,0.59,2013-06-26,
Luxor Capital Group LP,MILLICOM INTERNATIONAL CELLULAR S.A.,SE0001174970,1.28,2013-06-25,
GMT Capital Corp,Ratos AB ,SE0000111940,1.30,2013-06-25,
Luxor Capital Group LP,Modern Times Group MTG AB,SE0000412371,0.68,2013-06-25,
Highbridge Capital Management LLC,SSAB AB,SE0000171100,0.51,2013-06-25,
Egerton Capital Limited as general partner of Egerton Capital Limited Partnership,Husqvarna Aktiebolag ,SE0001662230,0.71,2013-06-25,
"ZBI Equities, LLC",Elekta AB (publ) ,SE0000163628,1.31,2013-06-24,Korrigering
"BlackRock Institutional Trust Company, National Association",SAAB Aktiebolag ,SE0000112385,0.60,2013-06-24,
Arrowgrass Capital Partners LLP,Aktiebolaget Industrivärden,SE0000107203,"<0,5",2013-06-24,
Marshall Wace LLP,Aktiebolaget Electrolux,SE0000103814,0.62,2013-06-20,
Marshall Wace LLP,Oriflame Holding AG,SE0001174889,0.86,2013-06-20,
Marshall Wace LLP,Oriflame Holding AG,SE0001174889,0.91,2013-06-20,Korrigering
"ZBI Equities, LLC",Elekta AB (publ) ,SE0000163628,1.42,2013-06-20,
OCCO Eastern European Fund ,Alliance Oil Company Ltd,SE0000739286,"<0,5",2013-06-20,
"Maverick Capital, Ltd.",Elekta AB (publ) ,SE0000163628,0.92,2013-06-20,
Magnetar Financial LLC,Black Earth Farming ,SE0001882291,"<0,5",2013-06-20,Korrigering
Egerton Capital Limited as general partner of Egerton Capital Limited Partnership,Husqvarna Aktiebolag ,SE0001662230,0.60,2013-06-20,
"ZBI Equities, LLC",Elekta AB (publ) ,SE0000163628,1.59,2013-06-19,
"Maverick Capital, Ltd.",Elekta AB (publ) ,SE0000163628,0.83,2013-06-19,
Marshall Wace LLP,SSAB AB,SE0000171100,0.59,2013-06-18,
Magnetar Financial LLC,Black Earth Farming ,SE0001882291,0.53,2013-06-18,
Marshall Wace LLP,SSAB AB,SE0000171100,0.60,2013-06-17,
Marshall Wace LLP,Aktiebolaget SKF ,SE0000108227,0.50,2013-06-14,
Marshall Wace LLP,SSAB AB,SE0000171100,0.59,2013-06-14,
Luxor Capital Group LP,MILLICOM INTERNATIONAL CELLULAR S.A.,SE0001174970,1.30,2013-06-14,
Luxor Capital Group LP,Modern Times Group MTG AB,SE0000412371,0.70,2013-06-14,
Cadian Capital Management LLC,Elekta AB (publ) ,SE0000163628,1.69,2013-06-14,
Bocage Capital LLC,Holmen Aktiebolag,SE0000109290,0.52,2013-06-14,
AKO Capital LLP for AKO Master Fund Limited,Meda Aktiebolag,SE0000221723,"<0,5",2013-06-14,
Marshall Wace LLP,Aktiebolaget SKF ,SE0000108227,"<0,5",2013-06-13,
"Two Sigma Investments, LLC",SSAB AB,SE0000171100,"<0,5",2013-06-13,
Magnetar Financial LLC,CDON Group AB,SE0003652163,"<0,5",2013-06-13,
"AQR Capital Management, LLC",SSAB AB,SE0000171100,1.25,2013-06-13,
AKO Capital LLP for AKO Master Fund Limited,Meda Aktiebolag,SE0000221723,0.56,2013-06-13,
"Two Sigma Investments, LLC",SSAB AB,SE0000171100,0.50,2013-06-12,
Platinum Investment Management Limited,Aktiebolaget SKF ,SE0000108227,0.54,2013-06-12,
Carve Capital AB,Modern Times Group MTG AB,SE0000412371,0.50,2013-06-12,
"BlackRock Institutional Trust Company, National Association",Husqvarna Aktiebolag ,SE0001662230,0.69,2013-06-12,
Arrowgrass Capital Partners LLP,Aktiebolaget Industrivärden,SE0000107203,0.55,2013-06-12,
Marshall Wace LLP,Aktiebolaget Electrolux,SE0000103814,0.57,2013-06-11,
Marshall Wace LLP,Aktiebolaget SKF ,SE0000108227,0.50,2013-06-11,
TT International,SSAB AB,SE0000171100,0.63,2013-06-11,
Ennismore Fund Management Limited,Net Insight AB,SE0000366098,0.76,2013-06-11,
TT International,SSAB AB,SE0000171100,0.53,2013-06-10,
Luxor Capital Group LP,Modern Times Group MTG AB,SE0000412371,0.68,2013-06-10,
Lansdowne Partners Ltd,Sandvik AB,SE0000667891,1.10,2013-06-10,
Highbridge Capital Management LLC,SSAB AB,SE0000171100,"<0,5",2013-06-10,
GMT Capital Corp,Ratos AB ,SE0000111940,1.21,2013-06-10,
Marshall Wace LLP,Oriflame Holding AG,SE0001174889,0.82,2013-06-07,
Marshall Wace LLP,Oriflame Holding AG,SE0001174889,0.86,2013-06-07,
Lansdowne Partners Ltd,Sandvik AB,SE0000667891,1.08,2013-06-07,
Arrowgrass Capital Partners LLP,Aktiebolaget Industrivärden,SE0000107203,0.64,2013-06-06,
"ZBI Equities, LLC",Elekta AB (publ) ,SE0000163628,1.64,2013-06-05,
Pictet Asset Management SA,Clas Ohlson Aktiebolag ,SE0000584948,0.70,2013-06-05,
"Maverick Capital, Ltd.",Elekta AB (publ) ,SE0000163628,0.76,2013-06-05,
