Position Holder,Name of Share Issuer,ISIN,Net Short Position (%),Position Date
KINTBURY CAPITAL LLP,VALMET OYJ,FI4000074984,0.86,10/25/2023
HELIKON INVESTMENTS LIMITED,KEMPOWER OYJ,FI4000513593,0.65,10/25/2023
"THE GOLDMAN SACHS GROUP, INC",MANDATUM OYJ,FI4000552526,0.47,10/24/2023
CITADEL ADVISORS EUROPE LIMITED,UPM-KYMMENE OYJ,FI0009005987,0.54,10/24/2023
"POINT72 ASSET MANAGEMENT, L.P.",MANDATUM OYJ,FI4000552526,0.6,10/23/2023
MILLENNIUM CAPITAL MANAGEMENT FRANCE,OUTOKUMPU OYJ,FI0009002422,0.77,10/23/2023
SCULPTOR CAPITAL MANAGEMENT EUROPE LIMITED,OUTOKUMPU OYJ,FI0009002422,2.95,10/23/2023
"THE GOLDMAN SACHS GROUP, INC",MANDATUM OYJ,FI4000552526,0.53,10/20/2023
MILLENNIUM CAPITAL PARTNERS LLP,NOKIAN RENKAAT OYJ,FI0009005318,0.52,10/20/2023
HELIKON INVESTMENTS LIMITED,KEMPOWER OYJ,FI4000513593,0.71,10/20/2023
MARSHALL WACE LLP,NOKIA OYJ,FI0009000681,0.8,10/19/2023
KINTBURY CAPITAL LLP,VALMET OYJ,FI4000074984,0.77,10/18/2023
CAPEVIEW CAPITAL LLP,QT GROUP OYJ,FI4000198031,0.5,10/18/2023
MARSHALL WACE LLP,NOKIA OYJ,FI0009000681,0.71,10/17/2023
"POINT72 ASSET MANAGEMENT, L.P.",MANDATUM OYJ,FI4000552526,0.5,10/16/2023
MILLENNIUM CAPITAL PARTNERS LLP,NOKIAN RENKAAT OYJ,FI0009005318,0.7,10/13/2023
QUBE RESEARCH & TECHNOLOGIES LIMITED,NOKIAN RENKAAT OYJ,FI0009005318,0.79,10/13/2023
POINT72 EUROPE (LONDON) LLP,MANDATUM OYJ,FI4000552526,0.46,10/13/2023
JPMORGAN ASSET MANAGEMENT (UK) LIMITED,QT GROUP OYJ,FI4000198031,0.52,10/12/2023
MARSHALL WACE LLP,STORA ENSO OYJ,FI0009005961,0.49,10/11/2023
POINT72 EUROPE (LONDON) LLP,MANDATUM OYJ,FI4000552526,0.5,10/09/2023
MILLENNIUM CAPITAL PARTNERS LLP,NOKIAN RENKAAT OYJ,FI0009005318,0.62,10/06/2023
MARSHALL WACE LLP,NOKIA OYJ,FI0009000681,0.6,10/05/2023
MARSHALL WACE LLP,NOKIA OYJ,FI0009000681,0.58,10/04/2023
MILLENNIUM INTERNATIONAL MANAGEMENT LP,NOKIAN RENKAAT OYJ,FI0009005318,0.89,10/03/2023
MILLENNIUM CAPITAL PARTNERS LLP,NOKIAN RENKAAT OYJ,FI0009005318,0.5,10/03/2023
QUBE RESEARCH & TECHNOLOGIES LIMITED,NOKIAN RENKAAT OYJ,FI0009005318,0.81,10/03/2023
POINT72 EUROPE (LONDON) LLP,MANDATUM OYJ,FI4000552526,0.49,10/03/2023
CAPEVIEW CAPITAL LLP,QT GROUP OYJ,FI4000198031,0.46,10/02/2023
MILLENNIUM CAPITAL PARTNERS LLP,NOKIAN RENKAAT OYJ,FI0009005318,0.67,10/02/2023
POINT72 EUROPE (LONDON) LLP,MANDATUM OYJ,FI4000552526,0.57,10/02/2023
MARBLE BAR ASSET MANAGEMENT LLP ,FINNAIR OYJ,FI0009003230,0.49,09/28/2023
AKO CAPITAL LLP,VALMET OYJ,FI4000074984,1.46,09/27/2023
MILLENNIUM CAPITAL PARTNERS LLP,NOKIAN RENKAAT OYJ,FI0009005318,0.7,09/27/2023
MILLENNIUM INTERNATIONAL MANAGEMENT LP,NOKIAN RENKAAT OYJ,FI0009005318,0.9,09/27/2023
AKO CAPITAL LLP,VALMET OYJ,FI4000074984,1.57,09/26/2023
MILLENNIUM CAPITAL PARTNERS LLP,NOKIAN RENKAAT OYJ,FI0009005318,0.59,09/26/2023
QUBE RESEARCH & TECHNOLOGIES LIMITED,NOKIAN RENKAAT OYJ,FI0009005318,0.79,09/26/2023
QUBE RESEARCH & TECHNOLOGIES LIMITED,NOKIAN RENKAAT OYJ,FI0009005318,0.8,09/25/2023
MARBLE BAR ASSET MANAGEMENT LLP,FINNAIR OYJ,FI0009003230,0.57,09/25/2023
MILLENNIUM CAPITAL PARTNERS LLP,NOKIAN RENKAAT OYJ,FI0009005318,0.6,09/25/2023
AKO CAPITAL LLP,QT GROUP OYJ,FI4000198031,0.46,09/25/2023
AKO CAPITAL LLP,QT GROUP,FI4000198031,0.54,09/22/2023
MILLENNIUM CAPITAL PARTNERS LLP,NOKIAN RENKAAT OYJ,FI0009005318,0.58,09/22/2023
MILLENNIUM INTERNATIONAL MANAGEMENT LP,NOKIAN RENKAAT OYJ,FI0009005318,0.8,09/21/2023
SCULPTOR CAPITAL MANAGEMENT EUROPE LIMITED,OUTOKUMPU OYJ,FI0009002422,3.08,09/21/2023
MARSHALL WACE LLP,STORA ENSO OYJ,FI0009005961,0.5,09/20/2023
MARBLE BAR ASSET MANAGEMENT LLP,CITYCON OYJ,FI4000369947,0.49,09/20/2023
MARBLE BAR ASSET MANAGEMENT LLP,FINNAIR OYJ,FI0009003230,0.68,09/20/2023
AKO CAPITAL LLP,QT GROUP,FI4000198031,0.67,09/19/2023
MILLENNIUM CAPITAL PARTNERS LLP,NOKIAN RENKAAT OYJ,FI0009005318,0.6,09/19/2023
MILLENNIUM CAPITAL MANAGEMENT FRANCE SAS,OUTOKUMPU OYJ,FI0009002422,0.81,09/18/2023
MILLENNIUM INTERNATIONAL MANAGEMENT LP,KOJAMO OYJ,FI4000312251,0.02,09/15/2023
CAPEVIEW CAPITAL LLP,QT GROUP OYJ,FI4000198031,0.54,09/15/2023
MILLENNIUM INTERNATIONAL MANAGEMENT LP,NOKIAN RENKAAT OYJ,FI0009005318,0.71,09/15/2023
