Position Holder:,Name of the Issuer:,ISIN:,Net short position %:,Position Date:
Kryger Capital Limited,Smurfit Kappa Group PLC,IE00B1RR8406,0.50%,2023-12-28
Qube Research & Technologies Limited,Smurfit Kappa Group PLC,IE00B1RR8406,0.78%,2023-12-28
Segantii Capital Management (UK) Limited,Smurfit Kappa Group PLC,IE00B1RR8406,0.48%,2023-12-21
Pentwater Capital Management LP,Smurfit Kappa Group PLC,IE00B1RR8406,0.94%,2023-12-21
"Davidson Kempner European Partners, LLP",Smurfit Kappa Group PLC,IE00B1RR8406,2.20%,2023-12-21
UBS O'Connor LLC,Smurfit Kappa Group PLC,IE00B1RR8406,0.80%,2023-12-19
Qube Research & Technologies Limited,Smurfit Kappa Group PLC,IE00B1RR8406,0.83%,2023-12-18
"Westchester Capital Management, LLC",Smurfit Kappa Group PLC,IE00B1RR8406,1.10%,2023-12-18
GLG Partners LP,UNIPHAR PUBLIC LIMITED COMPANY,IE00BJ5FQX74,1.09%,2023-12-18
Segantii Capital Management (UK) Limited,Smurfit Kappa Group PLC,IE00B1RR8406,0.50%,2023-12-15
"Davidson Kempner European Partners, LLP",Smurfit Kappa Group PLC,IE00B1RR8406,2.10%,2023-12-15
Pentwater Capital Management LP,Smurfit Kappa Group PLC,IE00B1RR8406,0.80%,2023-12-13
"Davidson Kempner European Partners, LLP",Smurfit Kappa Group PLC,IE00B1RR8406,2.00%,2023-12-13
Segantii Capital Management (USA) LLC,Smurfit Kappa Group PLC,IE00B1RR8406,0.61%,2023-12-12
Qube Research & Technologies Limited,Smurfit Kappa Group PLC,IE00B1RR8406,0.78%,2023-12-12
UBS O'Connor LLC,Smurfit Kappa Group PLC,IE00B1RR8406,0.70%,2023-12-11
"Davidson Kempner European Partners, LLP",Smurfit Kappa Group PLC,IE00B1RR8406,1.94%,2023-12-11
Pentwater Capital Management LP,Smurfit Kappa Group PLC,IE00B1RR8406,0.72%,2023-12-08
UBS O'Connor LLC,Smurfit Kappa Group PLC,IE00B1RR8406,0.64%,2023-12-07
"Westchester Capital Management, LLC",Smurfit Kappa Group PLC,IE00B1RR8406,1.02%,2023-12-07
"Davidson Kempner European Partners, LLP",Smurfit Kappa Group PLC,IE00B1RR8406,1.83%,2023-12-07
"Davidson Kempner European Partners, LLP",Smurfit Kappa Group PLC,IE00B1RR8406,1.72%,2023-12-06
Alpine Associates Management Inc,Smurfit Kappa Group PLC,IE00B1RR8406,0.87%,2023-12-05
Alpine Associates Management Inc,Smurfit Kappa Group PLC,IE00B1RR8406,0.90%,2023-12-04
"Westchester Capital Management, LLC",Smurfit Kappa Group PLC,IE00B1RR8406,0.92%,2023-12-01
Qube Research & Technologies Limited,Smurfit Kappa Group PLC,IE00B1RR8406,0.83%,2023-11-30
Qube Research & Technologies Limited,Smurfit Kappa Group PLC,IE00B1RR8406,0.55%,2023-11-29
"Westchester Capital Management, LLC",Smurfit Kappa Group PLC,IE00B1RR8406,0.85%,2023-11-29
"Westchester Capital Management, LLC",Smurfit Kappa Group PLC,IE00B1RR8406,0.77%,2023-11-28
"Davidson Kempner European Partners, LLP",Smurfit Kappa Group PLC,IE00B1RR8406,1.63%,2023-11-28
UBS O'Connor LLC,Smurfit Kappa Group PLC,IE00B1RR8406,0.53%,2023-11-27
"Westchester Capital Management, LLC",Smurfit Kappa Group PLC,IE00B1RR8406,0.66%,2023-11-27
HBK Investments LP,Smurfit Kappa Group PLC,IE00B1RR8406,0.70%,2023-11-27
Alpine Associates Management Inc,Smurfit Kappa Group PLC,IE00B1RR8406,0.81%,2023-11-27
"Westchester Capital Management, LLC",Smurfit Kappa Group PLC,IE00B1RR8406,0.53%,2023-11-24
"Davidson Kempner European Partners, LLP",Smurfit Kappa Group PLC,IE00B1RR8406,1.53%,2023-11-24
Segantii Capital Management (USA) LLC,Smurfit Kappa Group PLC,IE00B1RR8406,0.50%,2023-11-22
HBK Investments LP,Smurfit Kappa Group PLC,IE00B1RR8406,0.65%,2023-11-21
